DateTime,Name,State,Hash,Size,Progress,DL Speed,UP Speed,Priority,Seeds,Leechers,Ratio,ETA,Category,Tags,Save path,Added,Completion,Options
"12/30/2018  0:38:17.63","[AnimeRG] Kill la Kill Complete 1-25 BD (10-bit x264 1080p FLAC) [Dual-Audio] [Xcelent]","StalledUpload","07eaf33482fb141a58ef3fe57531d97726215862","43,064,640,457 bytes","100%","0","0","0","0 of 13","0 of 2","0.50","","Shows","","D:\Share\Shows\","08/18/2018 11","08/24/2018 12","",,
"12/30/2018  0:38:17.63","AUTODESK.MAYA.PACK","StalledUpload","24b575fb33060e22046b425347211bc1355a9f49","18,989,292,322 bytes","100%","0","0","0","0 of 2","0 of 1","0.01","","Misc","","D:\Share\Misc\","09/06/2018 1","09/07/2018 12","",,
"12/30/2018  0:38:17.63","debian-live-9.6.0-amd64-xfce.iso","StalledUpload","c039c62c643b3ffd19acd259d1a5e5dc498f7586","1,951,432,704 bytes","100%","0","0","0","0 of 166","1 of 42","0.15","","Misc","","D:\Share\Misc\","12/27/2018 8","12/27/2018 8","Automatic torrent management",,
"12/30/2018  0:38:17.63","Blacked.January-November.2018.720p.WEB-DL.AAC2.0.H.264-ForeverAloneDude","Uploading","688813a6d4389df94b8931c9da519b95f010b765","154,554,662,096 bytes","100%","0","9000","0","0 of 62","2 of 16","0.24","","X","","D:\X\","12/19/2018 7","12/20/2018 12","",,
"12/30/2018  0:38:17.63","Doctor.Who.2005.S01-S10.480p.BluRay.nSD.x264-NhaNc3","Uploading","51bb7332d79f2a0d7c8cc8428c3e442b898d9891","68,079,381,987 bytes","100%","0","1000","0","0 of 49","1 of 16","0.00","","Shows","","D:\Share\Shows\","12/28/2018 8","12/29/2018 1","Automatic torrent management",,
"12/30/2018  0:38:17.63","Ant-Man.and.the.Wasp.2018.1080p.WEB-DL.H264.AC3-FAS","StalledUpload","7f6b48aaf916be9da8f7af6f16bb2c002c05dab7","4,333,478,839 bytes","100%","0","0","0","0 of 194","0 of 1","0.22","","Movies","","D:\Share\Movies\","10/01/2018 7","10/01/2018 12","",,
"12/30/2018  0:38:17.63","SNES Gems - The Ultimate ROM Collection","StalledUpload","306e713c2ee13816be917092c88486b00f32f7e3","307,470,782 bytes","100%","0","0","0","0 of 623","0 of 3","0.04","","Misc","","D:\Share\Misc\","11/06/2018 8","11/06/2018 8","",,
"12/30/2018  0:38:17.63","Star.Wars.The.Clone.Wars.S01-S06.Complete.480p.BluRay.WEB-DL.WEBRip.x264-Sticky83","StalledUpload","8aa72c237a9be69044bf144599291221981e6a64","17,615,326,171 bytes","100%","0","0","0","0 of 70","1 of 6","0.01","","Shows","","D:\Share\Shows\","12/28/2018 8","12/28/2018 10","Automatic torrent management",,
"12/30/2018  0:38:17.63","BRAZZERS Ava Addams HEVC Megapack 1080P + Imagesets","ForcedUpload","cd836852f34c987bf807caa33cd1a1d11caf57d2","139,229,346,756 bytes","100%","0","1000","0","0 of 48","1 of 27","0.26","","X","","D:\X\","12/09/2018 9","12/09/2018 9","Force start",,
"12/30/2018  0:38:17.63","The.New.Batman.Adventures.S01-S02.1080p.BluRay.REMUX.AVC.DTS-HD.MA.2.0","ForcedUpload","5a441b5329fc263404fd5a87390a8ee9e19f67b0","68,628,032,531 bytes","100%","0","0","0","0 of 20","0 of 0","0.40","","Shows","","D:\Share\Shows\","12/01/2018 6","12/02/2018 4","Force start",,
"12/30/2018  0:38:17.63","Rush.Hour.Trilogy.1080p.BluRay.x264-nikt0","StalledUpload","d552f28838cf1243292db535c4135acf77c4e8ee","13,515,350,378 bytes","100%","0","0","0","0 of 53","0 of 1","0.07","","Movies","","D:\Share\Movies\","12/25/2018 12","12/25/2018 1","Automatic torrent management",,
"12/30/2018  0:38:17.63","Cosmos A Space Time Odyssey - Season 1 Complete - ChameE","StalledUpload","81c1ea1547f331817023d55910a066081a150271","1,711,679,252 bytes","100%","0","0","0","0 of 56","0 of 3","59.18","","Shows","","D:\Share\Shows\","06/19/2018 10","06/19/2018 11","Super seeding",,
"12/30/2018  0:38:17.63","Unbreakable 2000 10bit hevc-d3g","StalledUpload","22e5de7863c6984c62f1016ac2a6f9adef2669ae","3,576,436,704 bytes","100%","0","0","0","0 of 268","0 of 5","0.20","","Movies","","D:\Share\Movies\","07/20/2018 7","07/20/2018 9","",,
"12/30/2018  0:38:17.63","Nausicaa.Of.The.Valley.Of.The.Wind.1984.720p.BRRip.x264-x0r","StalledUpload","b96c11a29f507cc14eedc0c9074ebb16d549835c","2,565,675,298 bytes","100%","0","0","0","0 of 104","0 of 3","0.19","","Movies","","D:\Share\Movies\","06/23/2018 11","06/24/2018 2","",,
"12/30/2018  0:38:17.63","A.Star.is.Born.2018.1080p.HC.HDRip.X264.AC3-EVO","StalledUpload","d7f34da817a955e2a1287fbe6ff64363fd6cda54","3,719,915,475 bytes","100%","0","0","0","0 of 3760","0 of 4","0.01","","Movies","","D:\Share\Movies\","12/16/2018 4","12/16/2018 4","Automatic torrent management",,
"12/30/2018  0:38:17.63","South.Park.S22E08.Buddha.Box.UNCENSORED.720p.WEB-DL.AAC2.0.H.264-YFN","ForcedUpload","4c9d334749873259900a560030f05d7bf3b22a51","704,847,753 bytes","100%","0","3","0","0 of 155","0 of 6","0.47","","Shows","","D:\Share\Shows\","12/01/2018 12","12/01/2018 12","Force start",,
"12/30/2018  0:38:17.63","Venom.2018.1080p.HDRip.X264.AC3-EVO","StalledUpload","c1f8bcc01bc06154687baef57f46cf0c8bb803b9","12,474,273,955 bytes","100%","0","0","0","0 of 1031","0 of 2","0.02","","Movies","","D:\Share\Movies\","11/30/2018 5","11/30/2018 11","",,
"12/30/2018  0:38:17.63","South.Park.S08E14.720p.WEB.h264-KLINGON","StalledUpload","3cea5549d9236b3ef71620259bcc4bd36331db1f","186,152,914 bytes","100%","0","0","0","0 of 6","0 of 0","0.00","","Shows","","D:\Share\Shows\","12/25/2018 10","12/25/2018 10","Automatic torrent management",,
"12/30/2018  0:38:17.63","South.Park.S22E06.1080p.HEVC.x265-MeGusta","StalledUpload","61450d28980a9d80d730281f046a661d734257fa","289,345,805 bytes","100%","0","0","0","0 of 241","0 of 8","0.06","","Shows","","D:\Share\Shows\","11/18/2018 10","11/18/2018 12","",,
"12/30/2018  0:38:17.63","Christopher.Robin.2018.1080p.BluRay.DTS-HD.MA7.1.x264-iFT","StalledUpload","401dc57214fcd1bfa6b37df2293a8fe123bccf9f","13,600,541,607 bytes","100%","0","0","0","0 of 134","0 of 1","0.47","","Movies","","D:\Share\Movies\","11/09/2018 3","11/09/2018 7","",,
"12/30/2018  0:38:17.63","Split.2016.1080p.BRRip.x264.AAC-ETRG","ForcedUpload","5960ac7068fb8333be8c12f3e28f43d28e98f7c1","1,841,899,607 bytes","100%","0","308000","0","4 of 517","8 of 20","106.26","","Movies","","D:\Share\Movies\","06/15/2018 12","06/15/2018 9","Super seeding, Force start",,
